schema_line
TABLE: action_attachments.id | uuid | nullable=NO | default=gen_random_uuid()
TABLE: action_attachments.organization_id | uuid | nullable=NO | default=none
TABLE: action_attachments.plant_id | uuid | nullable=YES | default=none
TABLE: action_attachments.entity_type | text | nullable=NO | default=none
TABLE: action_attachments.entity_id | uuid | nullable=NO | default=none
TABLE: action_attachments.file_metadata_id | uuid | nullable=NO | default=none
TABLE: action_attachments.uploaded_by | uuid | nullable=NO | default=none
TABLE: action_attachments.created_at | timestamp with time zone | nullable=NO | default=now()
TABLE: admin_action_logs.id | bigint | nullable=NO | default=none
TABLE: admin_action_logs.admin_user_id | uuid | nullable=YES | default=none
TABLE: admin_action_logs.action | text | nullable=NO | default=none
TABLE: admin_action_logs.target_type | text | nullable=NO | default=none
TABLE: admin_action_logs.target_id | text | nullable=YES | default=none
TABLE: admin_action_logs.organization_id | uuid | nullable=YES | default=none
TABLE: admin_action_logs.reason | text | nullable=YES | default=none
TABLE: admin_action_logs.details | jsonb | nullable=NO | default='{}'::jsonb
TABLE: admin_action_logs.correlation_id | uuid | nullable=NO | default=gen_random_uuid()
TABLE: admin_action_logs.created_at | timestamp with time zone | nullable=NO | default=now()
TABLE: ai_usage.id | bigint | nullable=NO | default=none
TABLE: ai_usage.organization_id | uuid | nullable=NO | default=none
TABLE: ai_usage.plant_id | uuid | nullable=YES | default=none
TABLE: ai_usage.user_id | uuid | nullable=YES | default=none
TABLE: ai_usage.provider | text | nullable=YES | default=none
TABLE: ai_usage.mode | text | nullable=YES | default=none
TABLE: ai_usage.input_tokens | integer | nullable=YES | default=none
TABLE: ai_usage.output_tokens | integer | nullable=YES | default=none
TABLE: ai_usage.estimated_cost | numeric | nullable=YES | default=none
TABLE: ai_usage.created_at | timestamp with time zone | nullable=YES | default=now()
TABLE: ai_usage.request_id | uuid | nullable=YES | default=none
TABLE: ai_usage.model | text | nullable=YES | default=none
TABLE: ai_usage.status | text | nullable=YES | default='completed'::text
TABLE: ai_usage.latency_ms | integer | nullable=YES | default=none
TABLE: ai_usage.error_code | text | nullable=YES | default=none
TABLE: ai_usage.source_count | integer | nullable=YES | default=0
TABLE: api_keys.id | uuid | nullable=NO | default=gen_random_uuid()
TABLE: api_keys.organization_id | uuid | nullable=NO | default=none
TABLE: api_keys.plant_id | uuid | nullable=YES | default=none
TABLE: api_keys.name | text | nullable=NO | default=none
TABLE: api_keys.key_hash | text | nullable=NO | default=none
