schemaname,tablename,policyname,cmd,qual,with_check
public,action_attachments,action_attachments_member,ALL,is_org_member(organization_id),is_org_member(organization_id)
public,admin_action_logs,platform insert admin logs,INSERT,null,is_platform_admin()
public,admin_action_logs,platform read admin logs,SELECT,platform_has_permission('audit.view'::text),null
public,admin_action_logs,super admin inserts audit,INSERT,null,is_super_platform_admin()
public,admin_action_logs,super admin read access admin_action_logs,SELECT,is_super_platform_admin(),null
public,ai_usage,ai_usage_member,SELECT,is_org_member(organization_id),null
public,ai_usage,super admin read access ai_usage,SELECT,is_super_platform_admin(),null
public,api_keys,api_keys_read,SELECT,pm_is_org_owner(organization_id),null
public,api_keys,api_keys_write,ALL,pm_is_org_owner(organization_id),pm_is_org_owner(organization_id)
public,asset_status_history,status_insert,INSERT,null,is_org_member(organization_id)
public,asset_status_history,status_read,SELECT,is_org_member(organization_id),null
public,assets,assets read,SELECT,is_org_member(organization_id),null
public,assets,assets write,ALL,"(is_org_member(organization_id) AND (org_role(organization_id) = ANY (ARRAY['owner'::text, 'manager'::text, 'engineer'::text, 'supervisor'::text, 'technician'::text])))","(is_org_member(organization_id) AND (org_role(organization_id) = ANY (ARRAY['owner'::text, 'manager'::text, 'engineer'::text, 'supervisor'::text, 'technician'::text])))"
public,attendance,attendance_member,ALL,is_org_member(organization_id),is_org_member(organization_id)
public,audit_logs,audit insert,INSERT,null,is_org_member(organization_id)
public,audit_logs,audit read,SELECT,is_org_member(organization_id),null
public,backup_jobs,platform backup access,ALL,platform_has_permission('backups.manage'::text),platform_has_permission('backups.manage'::text)
public,backup_jobs,super admin full access backup_jobs,ALL,is_super_platform_admin(),is_super_platform_admin()
public,checklist_items,checklist_items_member,ALL,"(EXISTS ( SELECT 1
   FROM checklist_templates t
  WHERE ((t.id = checklist_items.template_id) AND is_org_member(t.organization_id))))","(EXISTS ( SELECT 1
   FROM checklist_templates t
  WHERE ((t.id = checklist_items.template_id) AND is_org_member(t.organization_id))))"
public,checklist_runs,checklist_runs_member,ALL,is_org_member(organization_id),is_org_member(organization_id)
public,checklist_templates,checklist_templates_member,ALL,is_org_member(organization_id),is_org_member(organization_id)
public,checklist_values,checklist_values_member,ALL,"(EXISTS ( SELECT 1
   FROM checklist_runs r
  WHERE ((r.id = checklist_values.run_id) AND is_org_member(r.organization_id))))","(EXISTS ( SELECT 1
   FROM checklist_runs r
  WHERE ((r.id = checklist_values.run_id) AND is_org_member(r.organization_id))))"
public,code_registry,code registry member access,ALL,is_org_member(organization_id),is_org_member(organization_id)
public,company_feature_blocks,platform feature block access,ALL,platform_has_permission('companies.manage'::text),platform_has_permission('companies.manage'::text)
public,company_feature_blocks,super admin full access company_feature_blocks,ALL,is_super_platform_admin(),is_super_platform_admin()
public,complimentary_access,platform manage complimentary,ALL,platform_has_permission('companies.manage'::text),platform_has_permission('companies.manage'::text)
public,complimentary_access,super admin full access complimentary_access,ALL,is_super_platform_admin(),is_super_platform_admin()
public,condition_alarms,condition alarms member access,ALL,is_org_member(organization_id),is_org_member(organization_id)
public,condition_entity_links,condition links member access,ALL,is_org_member(organization_id),is_org_member(organization_id)
public,condition_recordings,condition recordings member access,ALL,is_org_member(organization_id),is_org_member(organization_id)
public,daily_logs,daily_logs_member,ALL,is_org_member(organization_id),is_org_member(organization_id)
public,data_retention_policies,owner manages retention,ALL,((org_role(organization_id) = 'owner'::text) OR is_platform_admin()),((org_role(organization_id) = 'owner'::text) OR is_platform_admin())
public,data_retention_policies,super admin full access data_retention_policies,ALL,is_super_platform_admin(),is_super_platform_admin()
public,deletion_requests,owner manages deletion requests,ALL,((org_role(organization_id) = 'owner'::text) OR (requested_by = auth.uid()) OR is_platform_admin()),((org_role(organization_id) = 'owner'::text) OR (requested_by = auth.uid()) OR is_platform_admin())
public,deletion_requests,super admin full access deletion_requests,ALL,is_super_platform_admin(),is_super_platform_admin()
public,document_chunks,chunks_member,SELECT,"(EXISTS ( SELECT 1
   FROM manuals m
  WHERE ((m.id = document_chunks.manual_id) AND is_org_member(m.organization_id))))",null
public,file_metadata,files read,SELECT,is_org_member(organization_id),null
public,file_metadata,files write,INSERT,null,is_org_member(organization_id)
public,inventory_transactions,inventory_transactions_member,ALL,"(EXISTS ( SELECT 1
   FROM spares s
  WHERE ((s.id = inventory_transactions.spare_id) AND is_org_member(s.organization_id))))","(EXISTS ( SELECT 1
   FROM spares s
  WHERE ((s.id = inventory_transactions.spare_id) AND is_org_member(s.organization_id))))"
public,invitations,invites_manage,ALL,"(is_org_member(organization_id) AND (org_role(organization_id) = ANY (ARRAY['owner'::text, 'manager'::text])))","(is_org_member(organization_id) AND (org_role(organization_id) = ANY (ARRAY['owner'::text, 'manager'::text])))"
public,legal_acceptances,super admin full access legal_acceptances,ALL,is_super_platform_admin(),is_super_platform_admin()
public,legal_acceptances,user manages own acceptance,ALL,(user_id = auth.uid()),((user_id = auth.uid()) AND ((organization_id IS NULL) OR is_org_member(organization_id)))
public,legal_documents,authenticated read active legal docs,SELECT,(active OR is_platform_admin()),null
public,legal_documents,platform manages legal documents,ALL,platform_has_permission('legal.manage'::text),platform_has_permission('legal.manage'::text)
public,legal_documents,super admin full access legal_documents,ALL,is_super_platform_admin(),is_super_platform_admin()
public,loto_procedures,loto access,ALL,"(EXISTS ( SELECT 1
   FROM plants p
  WHERE ((p.id = loto_procedures.plant_id) AND is_org_member(p.organization_id))))",null
public,maintenance_completions,maintenance_completions_member,ALL,is_org_member(organization_id),is_org_member(organization_id)
public,maintenance_plans,maintenance_plans_member,ALL,is_org_member(organization_id),is_org_member(organization_id)
