kind,on_table,name,definition
CONSTRAINT,action_attachments,action_attachments_file_metadata_id_fkey,FOREIGN KEY (file_metadata_id) REFERENCES file_metadata(id) ON DELETE CASCADE
CONSTRAINT,action_attachments,action_attachments_organization_id_fkey,FOREIGN KEY (organization_id) REFERENCES organizations(id) ON DELETE CASCADE
CONSTRAINT,action_attachments,action_attachments_pkey,PRIMARY KEY (id)
CONSTRAINT,action_attachments,action_attachments_plant_id_fkey,FOREIGN KEY (plant_id) REFERENCES plants(id) ON DELETE CASCADE
CONSTRAINT,action_attachments,action_attachments_uploaded_by_fkey,FOREIGN KEY (uploaded_by) REFERENCES auth.users(id)
CONSTRAINT,admin_action_logs,admin_action_logs_admin_user_id_fkey,FOREIGN KEY (admin_user_id) REFERENCES auth.users(id) ON DELETE SET NULL
CONSTRAINT,admin_action_logs,admin_action_logs_organization_id_fkey,FOREIGN KEY (organization_id) REFERENCES organizations(id) ON DELETE SET NULL
CONSTRAINT,admin_action_logs,admin_action_logs_pkey,PRIMARY KEY (id)
CONSTRAINT,ai_usage,ai_usage_organization_id_fkey,FOREIGN KEY (organization_id) REFERENCES organizations(id)
CONSTRAINT,ai_usage,ai_usage_pkey,PRIMARY KEY (id)
CONSTRAINT,ai_usage,ai_usage_plant_id_fkey,FOREIGN KEY (plant_id) REFERENCES plants(id)
CONSTRAINT,ai_usage,ai_usage_user_id_fkey,FOREIGN KEY (user_id) REFERENCES auth.users(id)
CONSTRAINT,api_keys,api_keys_key_hash_key,UNIQUE (key_hash)
CONSTRAINT,api_keys,api_keys_organization_id_fkey,FOREIGN KEY (organization_id) REFERENCES organizations(id) ON DELETE CASCADE
CONSTRAINT,api_keys,api_keys_pkey,PRIMARY KEY (id)
CONSTRAINT,api_keys,api_keys_plant_id_fkey,FOREIGN KEY (plant_id) REFERENCES plants(id) ON DELETE CASCADE
CONSTRAINT,asset_status_history,asset_status_history_asset_id_fkey,FOREIGN KEY (asset_id) REFERENCES assets(id) ON DELETE CASCADE
CONSTRAINT,asset_status_history,asset_status_history_changed_by_fkey,FOREIGN KEY (changed_by) REFERENCES auth.users(id)
CONSTRAINT,asset_status_history,asset_status_history_organization_id_fkey,FOREIGN KEY (organization_id) REFERENCES organizations(id) ON DELETE CASCADE
CONSTRAINT,asset_status_history,asset_status_history_pkey,PRIMARY KEY (id)
CONSTRAINT,asset_status_history,asset_status_history_plant_id_fkey,FOREIGN KEY (plant_id) REFERENCES plants(id) ON DELETE CASCADE
CONSTRAINT,assets,assets_created_by_fkey,FOREIGN KEY (created_by) REFERENCES auth.users(id)
CONSTRAINT,assets,assets_organization_id_fkey,FOREIGN KEY (organization_id) REFERENCES organizations(id) ON DELETE CASCADE
CONSTRAINT,assets,assets_parent_id_fkey,FOREIGN KEY (parent_id) REFERENCES assets(id) ON DELETE SET NULL
CONSTRAINT,assets,assets_pkey,PRIMARY KEY (id)
CONSTRAINT,assets,assets_plant_id_asset_code_key,"UNIQUE (plant_id, asset_code)"
CONSTRAINT,assets,assets_plant_id_fkey,FOREIGN KEY (plant_id) REFERENCES plants(id) ON DELETE CASCADE
CONSTRAINT,assets,assets_removed_by_fkey,FOREIGN KEY (removed_by) REFERENCES auth.users(id)
CONSTRAINT,attendance,attendance_created_by_fkey,FOREIGN KEY (created_by) REFERENCES auth.users(id)
CONSTRAINT,attendance,attendance_organization_id_fkey,FOREIGN KEY (organization_id) REFERENCES organizations(id) ON DELETE CASCADE
CONSTRAINT,attendance,attendance_pkey,PRIMARY KEY (id)
CONSTRAINT,attendance,attendance_plant_id_fkey,FOREIGN KEY (plant_id) REFERENCES plants(id) ON DELETE CASCADE
CONSTRAINT,attendance,attendance_plant_id_user_id_work_date_key,"UNIQUE (plant_id, user_id, work_date)"
CONSTRAINT,attendance,attendance_user_id_fkey,FOREIGN KEY (user_id) REFERENCES auth.users(id)
CONSTRAINT,audit_logs,audit_logs_organization_id_fkey,FOREIGN KEY (organization_id) REFERENCES organizations(id) ON DELETE CASCADE
CONSTRAINT,audit_logs,audit_logs_pkey,PRIMARY KEY (id)
CONSTRAINT,audit_logs,audit_logs_plant_id_fkey,FOREIGN KEY (plant_id) REFERENCES plants(id) ON DELETE CASCADE
CONSTRAINT,audit_logs,audit_logs_user_id_fkey,FOREIGN KEY (user_id) REFERENCES auth.users(id) ON DELETE SET NULL
CONSTRAINT,backup_jobs,backup_jobs_job_type_check,"CHECK ((job_type = ANY (ARRAY['managed_snapshot'::text, 'pitr_checkpoint'::text, 'storage_inventory'::text, 'logical_export'::text])))"
CONSTRAINT,backup_jobs,backup_jobs_pkey,PRIMARY KEY (id)
CONSTRAINT,backup_jobs,backup_jobs_requested_by_fkey,FOREIGN KEY (requested_by) REFERENCES auth.users(id)
CONSTRAINT,backup_jobs,backup_jobs_status_check,"CHECK ((status = ANY (ARRAY['requested'::text, 'running'::text, 'completed'::text, 'failed'::text, 'cancelled'::text])))"
CONSTRAINT,billing_events,billing_events_organization_id_fkey,FOREIGN KEY (organization_id) REFERENCES organizations(id) ON DELETE SET NULL
CONSTRAINT,billing_events,billing_events_pkey,PRIMARY KEY (id)
CONSTRAINT,billing_events,billing_events_provider_event_id_key,UNIQUE (provider_event_id)
CONSTRAINT,checklist_items,checklist_items_pkey,PRIMARY KEY (id)
CONSTRAINT,checklist_items,checklist_items_template_id_fkey,FOREIGN KEY (template_id) REFERENCES checklist_templates(id) ON DELETE CASCADE
CONSTRAINT,checklist_runs,checklist_runs_asset_id_fkey,FOREIGN KEY (asset_id) REFERENCES assets(id)
CONSTRAINT,checklist_runs,checklist_runs_organization_id_fkey,FOREIGN KEY (organization_id) REFERENCES organizations(id) ON DELETE CASCADE
CONSTRAINT,checklist_runs,checklist_runs_performed_by_fkey,FOREIGN KEY (performed_by) REFERENCES auth.users(id)
CONSTRAINT,checklist_runs,checklist_runs_pkey,PRIMARY KEY (id)
CONSTRAINT,checklist_runs,checklist_runs_plant_id_fkey,FOREIGN KEY (plant_id) REFERENCES plants(id) ON DELETE CASCADE
CONSTRAINT,checklist_runs,checklist_runs_supervisor_approved_by_fkey,FOREIGN KEY (supervisor_approved_by) REFERENCES auth.users(id)
CONSTRAINT,checklist_runs,checklist_runs_template_id_fkey,FOREIGN KEY (template_id) REFERENCES checklist_templates(id)
CONSTRAINT,checklist_templates,checklist_templates_asset_id_fkey,FOREIGN KEY (asset_id) REFERENCES assets(id) ON DELETE CASCADE
CONSTRAINT,checklist_templates,checklist_templates_created_by_fkey,FOREIGN KEY (created_by) REFERENCES auth.users(id)
CONSTRAINT,checklist_templates,checklist_templates_organization_id_fkey,FOREIGN KEY (organization_id) REFERENCES organizations(id) ON DELETE CASCADE
CONSTRAINT,checklist_templates,checklist_templates_pkey,PRIMARY KEY (id)
CONSTRAINT,checklist_templates,checklist_templates_plant_id_fkey,FOREIGN KEY (plant_id) REFERENCES plants(id) ON DELETE CASCADE
